q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.0450, 0.8776, 0.0012, 2.4648, 0.0046 			      |	0.0450, 0.8740, 0.0012, 2.4548, 0.0046 
0.0453, 0.8763, 0.0019, 2.4612, 0.0065 			      |	0.0453, 0.8724, 0.0018, 2.4502, 0.0064 
0.0459, 0.8756, 0.0012, 2.4594, 0.0046 			      |	0.0459, 0.8720, 0.0012, 2.4494, 0.0046 
0.0462, 0.8764, 0.0013, 2.4617, 0.0049 			      |	0.0462, 0.8724, 0.0013, 2.4505, 0.0048 
0.0463, 0.8753, 0.0015, 2.4587, 0.0053 			      |	0.0463, 0.8738, 0.0015, 2.4545, 0.0052 
0.0463, 0.8754, 0.0015, 2.4590, 0.0052 			      |	0.0463, 0.8725, 0.0015, 2.4510, 0.0051 
0.0469, 0.8745, 0.0012, 2.4567, 0.0047 			      |	0.0469, 0.8710, 0.0012, 2.4467, 0.0046 
0.0473, 0.8748, 0.0019, 2.4576, 0.0066 			      |	0.0473, 0.8708, 0.0018, 2.4466, 0.0065 
0.0477, 0.8729, 0.0013, 2.4524, 0.0049 			      |	0.0477, 0.8689, 0.0013, 2.4412, 0.0049 
0.0479, 0.8702, 0.0012, 2.4451, 0.0046 			      |	0.0479, 0.8667, 0.0012, 2.4352, 0.0046 
0.0479, 0.8703, 0.0012, 2.4452, 0.0046 			      |	0.0479, 0.8673, 0.0012, 2.4368, 0.0045 
0.0484, 0.8692, 0.0015, 2.4421, 0.0052 			      |	0.0484, 0.8677, 0.0015, 2.4380, 0.0052 
0.0484, 0.8711, 0.0016, 2.4475, 0.0055 			      |	0.0484, 0.8682, 0.0016, 2.4395, 0.0054 
0.0489, 0.8692, 0.0012, 2.4425, 0.0046 			      |	0.0489, 0.8657, 0.0012, 2.4326, 0.0046 
0.0493, 0.8703, 0.0013, 2.4455, 0.0049 			      |	0.0493, 0.8663, 0.0013, 2.4343, 0.0048 
0.0494, 0.8632, 0.0018, 2.4258, 0.0065 			      |	0.0494, 0.8594, 0.0018, 2.4150, 0.0064 
0.0505, 0.8645, 0.0015, 2.4296, 0.0051 			      |	0.0505, 0.8616, 0.0014, 2.4217, 0.0050 
0.0508, 0.8647, 0.0013, 2.4303, 0.0049 			      |	0.0508, 0.8607, 0.0012, 2.4192, 0.0049 
0.0515, 0.8622, 0.0018, 2.4235, 0.0065 			      |	0.0515, 0.8583, 0.0018, 2.4126, 0.0064 
0.0524, 0.8620, 0.0013, 2.4234, 0.0049 			      |	0.0524, 0.8581, 0.0012, 2.4123, 0.0049 
